,QE1,QE1absolute,QE1fuzzyratio,QE1fuzzyword,QE1fuzzyratio_2,QE1fuzzyword_2,QE2,QE2absolute,QE2fuzzyratio,QE2fuzzyword,QE2fuzzyratio_2,QE2fuzzyword_2
0,Contact them using their email,False,44,alternative streitbeilegung,40,court,I will call this number +353-800-44 44 4,False,30,alternativ tvistlösning,28,risoluzione alternativa delle controversie
1,Nothing to say,False,43,alternatywne metody rozstrzygania sporów,40,court,I’m not sure what the issue was with the airline,False,43,alternative dispute resolution,41,alternative streitbeilegung
2,I would directly contact ADR. and make a claim.,True,100,ADR,67,ODR,I'd send email to the airline informing them if issue is not resolved I'll contact ADR,True,100,ADR,67,ODR
3,I will send back the TV so they can refund me the cost of the TV,False,40,alternative dispute resolution,40,court,"I will make a complain putting my details and reasons, there is no info about damage baggage issues.",False,43,alternative dispute resolution,43,alternativ tvistlösning
4,i would try to resolve with retailer then if not citizens advice,False,48,alternativ tvistlösning,47,alternative dispute resolution,i would contact airline direct to try and resolve,False,60,court,46,alternatywne metody rozstrzygania sporów
5,"Use the product information NOT given to challenge them, and give ultimatums.",False,60,court,47,alternative dispute resolution,Establish CAA procedure covering this eventuality and point out that the airline has bypassed this.,False,60,court,50,AS
6,I would call them and expect to be on hold for a long time.,False,40,alternative dispute resolution,40,court,I live in Dublin so I would call then on the toll free number.,False,44,alternative streitbeilegung,41,risoluzione alternativa delle controversie
7,Contact consumer protection or made a claim in the small claims court.,True,80,court,43,alternative dispute resolution,Use the available websites that deal with the situation locally or at EU level or small claims court,True,100,court,50,alternative dispute resolution
8,i would call the complaints hotline +353-800-99 99 9;,False,48,alternativ tvistlösning,40,alternative dispute resolution,i would call the complaints phone line,False,43,alternative dispute resolution,43,risoluzione alternativa delle controversie
9,I would follow a complaint,False,40,court,38,risoluzione alternativa delle controversie,Contact them by phone,False,43,risoluzione alternativa delle controversie,40,court
10,I would email the Dispute Resolution centre to complain that I'm not being allowed return/refund,False,70,alternative dispute resolution,46,resolución alternativa de litigious,I would send them an email outlining the complaint I have,False,48,alternativ tvistlösning,43,alternative dispute resolution
11,Faulty goods I am entitled to a refund.,False,44,alternative streitbeilegung,43,alternative dispute resolution,"I am entitled to a refund as per rules ,regulations on your websites.",False,50,alternative dispute resolution,46,resolución alternativa de litigious
12,I would contact the eu website if the company are not resolving my issue,False,60,court,50,alternative dispute resolution,I would contact them on the freephone number from the website,False,60,court,41,alternative streitbeilegung
13,Ring up,False,43,alternativ tvistlösning,43,alternatywne metody rozstrzygania sporów,Ring up shop,False,42,alternative dispute resolution,33,alternatywne metody rozstrzygania sporów
14,I would contact the ADR,True,100,ADR,67,ODR,To contact the ADR,True,100,ADR,67,ODR
15,I would click on complaints dept and hopefully get to talk to someone,False,40,risoluzione alternativa delle controversie,37,alternative dispute resolution,"I would contact customer service, possibly engage with there on line chat option outlining my compla",False,60,court,52,alternativ tvistlösning
16,I would contact the head office and complain to them,False,60,court,40,alternative dispute resolution,Well it’s says flights are from one price but no flights match that amount,False,60,court,41,alternative streitbeilegung
17,"I would call them on the phone. If that did not work, I might try the dispute resolution system.",False,77,alternative dispute resolution,60,court,"Phone them and demand compensation. If that doesn't work, I might try the dispute resolution system.",False,77,alternative dispute resolution,60,court
18,contact dispute solution centre send copy complaint all correspondence receipt serial no. model no.,False,63,alternative dispute resolution,60,court,contact dispute solution center start ADR send them an copies of complaint correspondence photos,True,100,ADR,67,ODR
19,letter and email to the retailer and suggest complaint to manufacturer if needed,False,60,court,48,alternative streitbeilegung,I would ask for a meeting with the Airport/Airlines management and suggest further action,False,50,alternative dispute resolution,50,AS
20,I would email the ADR people,True,100,ADR,67,ODR,I would email the ODR people,True,100,ODR,67,ADR
21,I would type my problem into that eu site,False,41,alternative streitbeilegung,40,court,To go to the site at the end that was an alternate way to solve a problem,False,53,alternative dispute resolution,52,alternativ tvistlösning
22,Click into my orders and returns,False,41,resolución alternativa de litigious,40,court,Email them,False,50,alternative streitbeilegung,40,alternativ tvistlösning
23,Dispute resolution tab and click in the link to log a dispute,False,51,resolución alternativa de litigious,50,alternative dispute resolution,Click on dispute resolution and email the address providdd,False,70,alternative dispute resolution,60,court
24,Try to return the TV,False,60,court,40,alternatywne metody rozstrzygania sporów,Call them to place a complaint,False,43,alternative dispute resolution,43,risoluzione alternativa delle controversie
25,Call customer service and ask for repair or refund,False,60,court,41,alternative streitbeilegung,Check with department of travel and tourism to see further options,False,60,court,47,alternative dispute resolution
26,Return to the store site and sort it out,False,60,court,52,alternative streitbeilegung,Ring the helpline number,False,46,risoluzione alternativa delle controversie,40,court
27,Go through adr,False,40,court,36,alternatywne metody rozstrzygania sporów,Contact the complaints section providing the info requested,False,43,alternative dispute resolution,43,alternativ tvistlösning
28,Pictures and details of problem and copies of documents involved. Records of any phone calls.,False,60,court,40,alternative dispute resolution,Send photos of luggage before and after my flight detailing damage and estimated costs.,False,43,alternative dispute resolution,43,alternativ tvistlösning
29,"Unclickable boxes, no store / retailer location / point of sale",False,46,resolución alternativa de litigious,45,risoluzione alternativa delle controversie,"No specific complaints email inbox. Also inan EC contezt, airlines have really let customers down",False,60,court,50,AS
30,"I would continue to pursue my complaint through their alternative route, as per the link I chose",False,60,alternative dispute resolution,60,court,I would contact the Alternative dispute resolution as instructed on the website,True,97,alternative dispute resolution,63,alternative streitbeilegung
31,To contact the dispute resolution centre at disputerresolutioncentre.ie or ec.europa.eu/comsumers/od,False,77,alternative dispute resolution,60,court,To contact the airline on the phone number provided or write to them at the address in dublin,False,60,court,47,alternative dispute resolution
32,I would follow the link and start an adr,False,40,court,38,alternatywne metody rozstrzygania sporów,I would start an ADR through the ODR on the european commision page link in comlaints section,True,100,ODR,100,ADR
33,Go to the complaint section and write up a problem,False,43,alternative dispute resolution,43,resolución alternativa de litigious,Go to the ADR and sort it out that way,True,100,ADR,67,ODR
34,To be good to everyone,False,45,risoluzione alternativa delle controversie,41,alternatywne metody rozstrzygania sporów,To be good to them,False,40,court,39,alternatywne metody rozstrzygania sporów
35,Would use the complaint tab to give details of the issue because it had not been resolved.,False,49,resolución alternativa de litigious,48,risoluzione alternativa delle controversie,Look at the dispute resolution or contact us tabs to try to resolve your issue,False,77,alternative dispute resolution,60,court
36,You can withdraw within 14 days and outside this you can go to the european commission,False,60,court,43,alternative dispute resolution,go to the complaints tab on the bottom left of the page,False,40,court,38,risoluzione alternativa delle controversie
37,I’d try to contact them online. If that fails I’d call them.,False,60,court,43,alternative dispute resolution,I would email the airline and if no response I’d then call them or go to small claims court,True,100,court,50,alternative dispute resolution
38,I would call the number provided,False,41,risoluzione alternativa delle controversie,40,court,I would use the online dispute resolution route,False,80,alternative dispute resolution,60,court
39,I would refer to the alternative dispute resolution,True,100,alternative dispute resolution,67,alternative streitbeilegung,I would put it to the European legislation to resolve it,False,50,alternative dispute resolution,44,alternative streitbeilegung
40,Well if they're not cooperating den I would take it further,False,60,court,43,alternative dispute resolution,The same again I would try everything with dem and if nothing comes from it I would go further,False,60,court,40,alternative dispute resolution
41,Make things clearer,False,42,alternative dispute resolution,40,court,Make it easier to navigate,False,43,alternativ tvistlösning,42,alternative dispute resolution
42,Definitely speak to them directly,False,43,alternative dispute resolution,40,court,I would ring them or write and email,False,41,alternative streitbeilegung,40,alternative dispute resolution
43,I would contact the retailer and explain what is wrong and emphasis my consumer rights,False,60,court,48,alternative streitbeilegung,I would contact the information given on the website and follow the procedure set out,False,60,court,47,alternative dispute resolution
44,Customer service is there for problems such as this and they should oblige,False,47,alternative dispute resolution,44,alternative streitbeilegung,I would contact customer service and politely explain that I am very disappointed with the service,False,60,court,47,alternative dispute resolution
45,Using the Dispute Resolution option,False,67,alternative dispute resolution,60,court,Contact then directly via email,False,42,risoluzione alternativa delle controversie,41,alternative streitbeilegung
46,As they didn’t get an historic of our purchase I guess next step is going to the store,False,60,court,50,AS,Email the complaint distributed center,False,48,alternative streitbeilegung,47,alternative dispute resolution
47,involve the ombudsman,False,43,alternative dispute resolution,43,alternatywne metody rozstrzygania sporów,contact customer serivde,False,60,court,46,risoluzione alternativa delle controversie
48,I would talk persuasively with the retailer and use tact and diplomacy in the process,False,53,alternative dispute resolution,48,alternative streitbeilegung,I would point out the facts surrounding the case and then follow up with a polite phone call,False,46,resolución alternativa de litigious,43,alternative dispute resolution
49,Contact the European dispute resolution if company still refusing refund,False,73,alternative dispute resolution,60,court,Email the complaint department again to have everything in writing then make a phonecall,False,43,alternative dispute resolution,43,alternativ tvistlösning
50,Again. Complaint stating there rules. Then threten dispute resolution,False,77,alternative dispute resolution,50,AS,I would file a complaint saying that if it is not resolved I will be going forward with dispute reso,False,53,alternative dispute resolution,46,resolución alternativa de litigious
51,Alternative Dispute Resolution (ADR). The European Commission has created an online dispute base,True,90,alternative dispute resolution,63,alternative streitbeilegung,I would follow the procedure as outlined in the complaints section contact the airline within 14days,False,60,court,47,alternative dispute resolution
52,Use the link to Contact the European Commission ADR platform and inform the company by email,True,100,ADR,67,ODR,I would make a direct complaint using the second link following the initial complaint to airline,False,50,risoluzione alternativa delle controversie,46,resolución alternativa de litigious
53,"I would wait until they would resolve it best as they can,",False,50,alternative dispute resolution,43,risoluzione alternativa delle controversie,I would contact customer service and explain the problem I have with them,False,60,court,43,alternative dispute resolution
54,Use the dispute resolution service,False,73,alternative dispute resolution,60,court,ADR and the ODR platform,True,100,ODR,100,ADR
55,Refer the issue to the ODR,True,100,ODR,67,ADR,refer complaint to the ODR,True,100,ODR,67,ADR
56,I would go through the complaints procedure and ring the number provided,False,43,risoluzione alternativa delle controversie,40,alternative dispute resolution,Use the ODR platform to start ADR proceedings,True,100,ODR,100,ADR
57,Request to return the item seeing as it doesn't work,False,60,court,48,alternativ tvistlösning,Contact customer support and request a resolution,False,60,court,57,alternative dispute resolution
58,Call the retailer on the number listed on the complaints page. Failing that write a letter to them.,False,47,alternative dispute resolution,44,alternative streitbeilegung,Phone the number on the complaints page and ask to speak to a manager.,False,43,alternative dispute resolution,43,resolución alternativa de litigious
59,N/a,False,33,alternative dispute resolution,33,alternativ tvistlösning,N/a,False,33,alternative dispute resolution,33,alternativ tvistlösning
60,"I would send a registered letter through a solicitor,and I would contact them by phone",False,44,alternative streitbeilegung,43,alternative dispute resolution,I would find a customer service number and phone them.,False,60,court,38,risoluzione alternativa delle controversie
61,I dno,False,40,alternative dispute resolution,40,alternatywne metody rozstrzygania sporów,I dno,False,40,alternative dispute resolution,40,alternatywne metody rozstrzygania sporów
62,Lodge complaint,False,47,risoluzione alternativa delle controversie,40,alternative dispute resolution,Use the inquiry / contact us,False,60,court,43,risoluzione alternativa delle controversie
63,Phone the number or contact the address under the Returns and Complaints section of the website.,False,60,court,43,alternative dispute resolution,Contact them by phone or post to the address listed under Returns and Complaints.,False,43,alternative dispute resolution,41,alternative streitbeilegung
64,I always pay with Paypal so would ask for Refund as is guaranteed,False,40,court,35,alternatywne metody rozstrzygania sporów,Would contact the Alternative Dispute Centre,False,71,alternative dispute resolution,61,alternativ tvistlösning
65,I don't know,False,42,risoluzione alternativa delle controversie,40,court,I don't know,False,42,risoluzione alternativa delle controversie,40,court
66,Email,False,40,alternative dispute resolution,40,alternativ tvistlösning,Send an email,False,46,alternatywne metody rozstrzygania sporów,46,risoluzione alternativa delle controversie
67,Go to my account,False,80,court,44,alternatywne metody rozstrzygania sporów,Gifu0vi,False,43,alternative dispute resolution,43,alternativ tvistlösning
68,Contact them again and threaten to take to the ODR portal from the EU,True,100,ODR,67,ADR,Contact them via the details given in the refunds/complaints section of the website,False,50,alternative dispute resolution,44,alternative streitbeilegung
69,"I would write to address given, explain issue + advise I will use the alternate dispute resolution",False,93,alternative dispute resolution,59,alternative streitbeilegung,"I would use their online dispute resolution, quoting their contact email and outline my complaint",False,80,alternative dispute resolution,60,court
70,click on the resolution link that applies to people who already complained and to follow directions,False,60,court,53,alternative dispute resolution,Contact the alternate dispute resolution via the link provided.,False,93,alternative dispute resolution,60,court
71,I would ask them for a refund,False,40,court,37,alternative streitbeilegung,I would ask the airline to refund my ticket,False,44,alternative streitbeilegung,43,alternative dispute resolution
72,Go directly to the store as 100 euro cost is excessive for customer. Maybe a face to face discussion,False,60,court,47,alternative dispute resolution,Put in writing a complete outline of what happened. How I suppose it happened. My suggestions on it,False,60,court,43,alternative dispute resolution
73,phone in or post a written complaint requesting a prompt reply,False,44,alternative streitbeilegung,43,alternative dispute resolution,contact ADR or similar resolution organisation,True,100,ADR,67,ODR
74,If within 14 days you can return the item without any reason.,False,60,court,50,alternative dispute resolution,An Ard... alternative dispute,False,67,alternativ tvistlösning,66,alternative dispute resolution
75,I would contact customer service and I'd that failed the manager,False,60,court,41,alternative streitbeilegung,I would but my complaint in writing with all the relevant details attached,False,48,alternativ tvistlösning,46,resolución alternativa de litigious
76,Contact alternative EU agency for resolution,False,60,alternative dispute resolution,60,court,Contact Alternative Dispute Resolution (ADR).,True,90,alternative dispute resolution,63,alternative streitbeilegung
77,Make contact by telephone & follow with a written complaint to the address provided,False,60,court,43,risoluzione alternativa delle controversie,Make contact by telephone followed by a written complaint to the email & physical address provided,False,60,court,41,alternative streitbeilegung
78,I would use their Alternative Dispute resolution and failing that I would email https://ec.europa.eu,True,93,alternative dispute resolution,63,alternative streitbeilegung,Use the Alternative Dispute resolution and then email https://ec.europa.eu/consumers/odr/,True,93,alternative dispute resolution,63,alternative streitbeilegung
79,Call the retailer at the number listed,False,48,alternative streitbeilegung,45,risoluzione alternativa delle controversie,Go to the online dispute resolution site mentioned,False,80,alternative dispute resolution,60,court
80,click.on complaints,False,42,risoluzione alternativa delle controversie,37,resolución alternativa de litigious,phone customer services,False,60,court,43,alternative dispute resolution
81,I will need to take some details and call a number and have all the info such as model and date etc.,False,43,alternative dispute resolution,43,risoluzione alternativa delle controversie,I need to click for more info on ADR as I am entitled to take it further for compensation,True,100,ADR,67,ODR
82,call,False,50,risoluzione alternativa delle controversie,50,resolución alternativa de litigious,call,False,50,risoluzione alternativa delle controversie,50,resolución alternativa de litigious
83,Email,False,40,alternative dispute resolution,40,alternativ tvistlösning,Email all Information,False,60,court,43,risoluzione alternativa delle controversie
84,lik,False,33,alternative dispute resolution,33,alternativ tvistlösning,1,False,0,,0,
85,Dispute the resolution using the links,False,60,court,57,alternative dispute resolution,Dispute a complaint,False,59,alternative dispute resolution,47,risoluzione alternativa delle controversie
86,I would go to the European website,False,40,court,37,alternative dispute resolution,I would try to phone to speak to someone,False,41,alternative dispute resolution,40,court
87,I would click on the complaints button,False,41,alternative dispute resolution,40,court,I would go to the dispute resolution section,False,73,alternative dispute resolution,60,court
88,fire off a stiff email to the manager of complaints,False,40,alternative dispute resolution,40,court,could not book any flight????,False,60,court,34,resolución alternativa de litigious
89,Phone call followed by letter,False,45,risoluzione alternativa delle controversie,34,resolución alternativa de litigious,Send email followed by phone call and if not happy straight to dispute site,False,53,alternative dispute resolution,48,alternativ tvistlösning
90,More colour it's very bland,False,60,court,37,risoluzione alternativa delle controversie,To get in touch about the damage to the bags buy making a call,False,60,court,41,alternative streitbeilegung
91,https://ec.europa.eu/consumers/odr/,False,60,court,37,alternative dispute resolution,"Contact details for he company explaining why they're in the wrong, and outlining why I'm entitled",False,48,alternativ tvistlösning,46,resolución alternativa de litigious
92,Complaints section of their website.,False,43,risoluzione alternativa delle controversie,41,alternative streitbeilegung,"ADR, as the airline have received and not engaged with my complaint thus far.",True,100,ADR,67,ODR
93,Call the number provided to complain to the company,False,40,alternative dispute resolution,40,alternatywne metody rozstrzygania sporów,Use the Dispute Resolution service that has been set up for complaints,False,67,alternative dispute resolution,60,court
94,Report him to CCPC,False,60,court,44,alternatywne metody rozstrzygania sporów,Report to regulator,False,60,court,47,alternative dispute resolution
95,I would follow the complaint procceed as outlined and write to 1234 Portal Street in Dublin.,False,60,court,50,AS,"Having already made a complaint and got nowhere, the resolution process seems the next option.",False,60,alternative dispute resolution,60,court
96,try to withdraw from the contract if it has been less than 14 days. If not then look for info in ADR,True,100,ADR,67,ODR,"ring the number that deals with complaints, it would be quicker than emailing",False,46,resolución alternativa de litigious,45,risoluzione alternativa delle controversie
97,i would send an email to the address given on the website and i would highlight the 14 day return po,False,43,alternative dispute resolution,43,risoluzione alternativa delle controversie,i would contact the airline and discuss with staff about my rights,False,60,court,43,alternative dispute resolution
98,Ring the number on website to complanted or write to them,False,40,alternative dispute resolution,40,court,Go online to airlineonlinesoland.eu and tell them your complanted,False,60,court,48,risoluzione alternativa delle controversie
99,I would pass all the relevant info on to the mediator and await their conclusion,False,50,alternative dispute resolution,43,alternativ tvistlösning,I would pass on all the relevant details and await their conclusion,False,49,resolución alternativa de litigious,48,alternativ tvistlösning
100,Go to help and then complaints via the website,False,43,risoluzione alternativa delle controversie,41,resolución alternativa de litigious,Complaints and ring the number and explain the situation,False,50,alternative dispute resolution,43,resolución alternativa de litigious
