,QE1,QE1absolute,QE1fuzzyratio,QE1fuzzyword,QE1fuzzyratio_2,QE1fuzzyword_2,QE2,QE2absolute,QE2fuzzyratio,QE2fuzzyword,QE2fuzzyratio_2,QE2fuzzyword_2
0,Contact them using their email,False,50,alternativ tvistlösning,49,alternative streitbeilegung,I will call this number +353-800-44 44 4,False,31,alternativ tvistlösning,31,resolución alternativa de litigious
1,Nothing to say,False,36,alternative dispute resolution,33,alternativ tvistlösning,I’m not sure what the issue was with the airline,False,41,alternative dispute resolution,34,alternatywne metody rozstrzygania sporów
2,I would directly contact ADR. and make a claim.,True,100,ADR,41,risoluzione alternativa delle controversie,I'd send email to the airline informing them if issue is not resolved I'll contact ADR,True,100,ADR,38,risoluzione alternativa delle controversie
3,I will send back the TV so they can refund me the cost of the TV,False,35,alternative streitbeilegung,34,alternative dispute resolution,"I will make a complain putting my details and reasons, there is no info about damage baggage issues.",False,33,risoluzione alternativa delle controversie,32,resolución alternativa de litigious
4,i would try to resolve with retailer then if not citizens advice,False,42,risoluzione alternativa delle controversie,36,alternative dispute resolution,i would contact airline direct to try and resolve,False,46,alternative dispute resolution,44,risoluzione alternativa delle controversie
5,"Use the product information NOT given to challenge them, and give ultimatums.",False,36,alternative dispute resolution,35,resolución alternativa de litigious,Establish CAA procedure covering this eventuality and point out that the airline has bypassed this.,False,36,risoluzione alternativa delle controversie,31,alternative dispute resolution
6,I would call them and expect to be on hold for a long time.,False,35,alternatywne metody rozstrzygania sporów,32,risoluzione alternativa delle controversie,I live in Dublin so I would call then on the toll free number.,False,38,risoluzione alternativa delle controversie,36,alternative dispute resolution
7,Contact consumer protection or made a claim in the small claims court.,True,100,court,41,risoluzione alternativa delle controversie,Use the available websites that deal with the situation locally or at EU level or small claims court,True,100,court,34,risoluzione alternativa delle controversie
8,i would call the complaints hotline +353-800-99 99 9;,False,33,alternative dispute resolution,33,risoluzione alternativa delle controversie,i would call the complaints phone line,False,40,risoluzione alternativa delle controversie,38,alternative dispute resolution
9,I would follow a complaint,False,38,risoluzione alternativa delle controversie,36,alternative dispute resolution,Contact them by phone,False,31,alternative dispute resolution,29,risoluzione alternativa delle controversie
10,I would email the Dispute Resolution centre to complain that I'm not being allowed return/refund,False,75,alternative dispute resolution,38,risoluzione alternativa delle controversie,I would send them an email outlining the complaint I have,False,40,alternative dispute resolution,40,resolución alternativa de litigious
11,Faulty goods I am entitled to a refund.,False,47,resolución alternativa de litigious,44,alternative dispute resolution,"I am entitled to a refund as per rules ,regulations on your websites.",False,100,AS,39,risoluzione alternativa delle controversie
12,I would contact the eu website if the company are not resolving my issue,False,41,alternative dispute resolution,39,resolución alternativa de litigious,I would contact them on the freephone number from the website,False,36,risoluzione alternativa delle controversie,34,alternative dispute resolution
13,Ring up,False,28,alternativ tvistlösning,24,alternative streitbeilegung,Ring up shop,False,33,alternative dispute resolution,30,resolución alternativa de litigious
14,I would contact the ADR,True,100,ADR,45,alternative dispute resolution,To contact the ADR,True,100,ADR,46,alternative dispute resolution
15,I would click on complaints dept and hopefully get to talk to someone,False,39,risoluzione alternativa delle controversie,34,alternatywne metody rozstrzygania sporów,"I would contact customer service, possibly engage with there on line chat option outlining my compla",False,34,risoluzione alternativa delle controversie,33,alternatywne metody rozstrzygania sporów
16,I would contact the head office and complain to them,False,38,risoluzione alternativa delle controversie,34,alternative dispute resolution,Well it’s says flights are from one price but no flights match that amount,False,32,resolución alternativa de litigious,31,risoluzione alternativa delle controversie
17,"I would call them on the phone. If that did not work, I might try the dispute resolution system.",False,75,alternative dispute resolution,34,risoluzione alternativa delle controversie,"Phone them and demand compensation. If that doesn't work, I might try the dispute resolution system.",False,75,alternative dispute resolution,37,resolución alternativa de litigious
18,contact dispute solution centre send copy complaint all correspondence receipt serial no. model no.,False,46,risoluzione alternativa delle controversie,44,alternative dispute resolution,contact dispute solution center start ADR send them an copies of complaint correspondence photos,True,100,ADR,44,alternative dispute resolution
19,letter and email to the retailer and suggest complaint to manufacturer if needed,False,37,alternative dispute resolution,37,risoluzione alternativa delle controversie,I would ask for a meeting with the Airport/Airlines management and suggest further action,False,34,risoluzione alternativa delle controversie,33,resolución alternativa de litigious
20,I would email the ADR people,True,100,ADR,41,alternative dispute resolution,I would email the ODR people,True,100,ODR,41,alternative dispute resolution
